"","YEAR","AGE","income_bound","EDUC","female","religious","married","widowed","divorced","separated","have_children","white","happy","ft_employed","pt_employed","unemployed","retired","in_education","home_maker","work_status_other","c_age"
"66",1991,46,18,11,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,-0.346114283687442
"67",1991,36,17,12,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,-10.3461142836874
"68",1991,34,12,11,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,-12.3461142836874
"70",1991,71,8,11,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,24.6538857163126
"71",1991,37,11,12,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,-9.34611428368744
"72",1991,67,7,9,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,20.6538857163126
"73",1991,61,11,12,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,14.6538857163126
"74",1991,50,11,14,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,3.65388571631256
"75",1991,49,15,4,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2.65388571631256
"76",1991,65,12,15,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,18.6538857163126
"77",1991,39,20,16,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,-7.34611428368744
"79",1991,47,18,15,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0.653885716312558
"80",1991,61,16,12,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,14.6538857163126
"81",1991,54,7,14,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,7.65388571631256
"82",1991,28,11,16,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-18.3461142836874
"83",1991,59,17,16,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,12.6538857163126
"84",1991,25,16,16,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-21.3461142836874
"86",1991,33,10,18,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,-13.3461142836874
"87",1991,43,8,16,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,-3.34611428368744
"88",1991,23,11,12,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,-23.3461142836874
"89",1991,20,10,11,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,-26.3461142836874
"90",1991,28,9,9,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,-18.3461142836874
"91",1991,36,7,10,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,-10.3461142836874
"92",1991,36,2,12,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,-10.3461142836874
"93",1991,30,7,13,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,-16.3461142836874
"94",1991,44,10,15,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,-2.34611428368744
"95",1991,37,17,13,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-9.34611428368744
"96",1991,35,8,12,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,-11.3461142836874
"97",1991,38,9,12,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,-8.34611428368744
"98",1991,24,15,12,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,-22.3461142836874
"101",1991,31,3,9,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,-15.3461142836874
"102",1991,71,12,8,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,24.6538857163126
"103",1991,54,18,12,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,7.65388571631256
"105",1991,33,18,10,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,-13.3461142836874
"106",1991,30,16,16,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-16.3461142836874
"107",1991,71,11,12,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,24.6538857163126
"108",1991,22,15,11,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,-24.3461142836874
"109",1991,72,15,12,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,25.6538857163126
"110",1991,40,12,14,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,-6.34611428368744
"111",1991,43,21,13,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,-3.34611428368744
"112",1991,51,6,12,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,4.65388571631256
"113",1991,31,16,13,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-15.3461142836874
"115",1991,85,7,9,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,38.6538857163126
"116",1991,30,18,11,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,-16.3461142836874
"117",1991,34,19,16,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,-12.3461142836874
"118",1991,35,19,15,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,-11.3461142836874
"119",1991,25,21,16,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-21.3461142836874
"120",1991,35,18,16,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-11.3461142836874
"121",1991,42,19,16,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,-4.34611428368744
"122",1991,75,6,12,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,28.6538857163126
"123",1991,29,20,16,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,-17.3461142836874
"124",1991,60,19,12,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,13.6538857163126
"125",1991,36,11,15,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,-10.3461142836874
"126",1991,32,20,19,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,-14.3461142836874
"127",1991,34,20,12,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,-12.3461142836874
"128",1991,47,18,14,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0.653885716312558
"129",1991,50,20,14,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,3.65388571631256
"130",1991,46,19,19,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,-0.346114283687442
"131",1991,41,5,14,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-5.34611428368744
"132",1991,35,12,16,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-11.3461142836874
"133",1991,33,20,12,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,-13.3461142836874
"134",1991,34,16,12,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-12.3461142836874
"135",1991,36,7,10,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,-10.3461142836874
"138",1991,41,12,13,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,-5.34611428368744
"139",1991,44,16,16,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,-2.34611428368744
"140",1991,74,10,12,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,27.6538857163126
"141",1991,85,17,11,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,38.6538857163126
"142",1991,71,15,12,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,24.6538857163126
"143",1991,27,17,17,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,-19.3461142836874
"145",1991,20,4,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-26.3461142836874
"146",1991,66,3,14,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,19.6538857163126
"147",1991,40,15,13,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,-6.34611428368744
"148",1991,35,18,16,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,-11.3461142836874
"149",1991,33,18,16,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,-13.3461142836874
"150",1991,43,17,15,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,-3.34611428368744
"153",1991,24,14,12,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,-22.3461142836874
"154",1991,64,15,14,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,17.6538857163126
"155",1991,70,16,18,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,23.6538857163126
"156",1991,42,16,12,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,-4.34611428368744
"157",1991,53,11,10,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,6.65388571631256
"158",1991,36,17,18,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,-10.3461142836874
"160",1991,42,11,14,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,-4.34611428368744
"161",1991,21,11,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-25.3461142836874
"162",1991,22,4,10,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-24.3461142836874
"163",1991,42,19,13,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,-4.34611428368744
"164",1991,52,19,14,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,5.65388571631256
"165",1991,63,16,14,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,16.6538857163126
"166",1991,56,21,17,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,9.65388571631256
"167",1991,38,20,19,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,-8.34611428368744
"168",1991,41,2,13,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,-5.34611428368744
"169",1991,70,9,11,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,23.6538857163126
"171",1991,41,12,15,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,-5.34611428368744
"172",1991,69,10,12,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,22.6538857163126
"173",1991,22,12,11,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-24.3461142836874
"174",1991,75,10,10,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,28.6538857163126
"175",1991,73,16,12,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,26.6538857163126
"176",1991,70,13,12,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,23.6538857163126
"177",1991,32,11,12,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,-14.3461142836874
"178",1991,36,21,12,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,-10.3461142836874
"179",1991,28,6,9,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,-18.3461142836874
"180",1991,44,19,14,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,-2.34611428368744
"181",1991,32,19,14,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,-14.3461142836874
"182",1991,58,19,14,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,11.6538857163126
"184",1991,22,15,11,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,-24.3461142836874
"185",1991,27,11,9,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,-19.3461142836874
"186",1991,28,13,16,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-18.3461142836874
"187",1991,31,10,16,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,-15.3461142836874
"188",1991,18,19,12,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-28.3461142836874
"189",1991,33,12,16,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-13.3461142836874
"190",1991,27,18,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,-19.3461142836874
"192",1991,37,20,12,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,-9.34611428368744
"193",1991,39,16,12,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,-7.34611428368744
"194",1991,34,18,9,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,-12.3461142836874
"195",1991,38,12,11,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,-8.34611428368744
"196",1991,47,21,18,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0.653885716312558
"197",1991,47,21,16,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0.653885716312558
"198",1991,61,21,16,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,14.6538857163126
"199",1991,71,21,20,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,24.6538857163126
"200",1991,21,11,14,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,-25.3461142836874
"201",1991,21,5,14,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,-25.3461142836874
"202",1991,21,8,13,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,-25.3461142836874
"203",1991,21,9,14,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,-25.3461142836874
"204",1991,26,10,15,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,-20.3461142836874
"205",1991,48,16,17,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1.65388571631256
"207",1991,74,18,16,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,27.6538857163126
"208",1991,21,20,14,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-25.3461142836874
"209",1991,50,21,18,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,3.65388571631256
"210",1991,26,20,16,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,-20.3461142836874
"212",1991,47,21,16,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.653885716312558
"213",1991,65,19,20,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,18.6538857163126
"214",1991,39,21,18,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,-7.34611428368744
"215",1991,37,15,20,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-9.34611428368744
"216",1991,29,19,17,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,-17.3461142836874
